Deutsch,English
gestört,disturbed
cooper,cooper
ruhen,rest
pillen,pills
gepäck,baggage
carol,carol
norman,norman
zoe,zoe
amerikanischen,American
telefonieren,make a phone call
heirate,marry
erkenne,recognize
funk,funk
grüß,greetings
hurensohn,hurensohn
mögliche,possible
spring,spring
uni,uni
scheinbar,seemingly
fakten,facts
informieren,inform
jugend,youth
feier,celebration
wenigen,few
söhne,sons
benzin,petrol
nix,nix
vampire,vampire
erkennt,recognizes
sicherer,safer
zigaretten,cigarettes
dummes,stupid
mauer,mauer
erneut,anew
flügel,wing
schluck,gulp
hierbleiben,stay here
abschluss,diploma
christus,christus
bezahle,pay
böses,evil
dummkopf,fool
gerüchte,rumors
eingestellt,set
m.,m.
weitergehen,move on
technik,technology
ali,ali
bezweifle,doubt
piper,piper
over,over
gekostet,cost
anzeige,advertisement
wohnst,live
hans,hans
ergebnis,result
bedingungen,conditions
brad,brad
aufzuhalten,to stop
versprich,promise
verdiene,the values
geschnappt,caught
francis,francis
eile,another
innen,within
italien,Italy
einig,Some
verhandeln,negotiate
weswegen,why
nützlich,useful
inneren,inner
gentleman,gentleman
felix,felix
vergesse,forget
dunkle,dark
warnung,warning
gemeinde,community
diamanten,diamonds
wächst,grows
gewöhnlich,usually
seil,rope
bär,berries
euro,euro
großartige,great
beth,beth
ware,ware
traurige,sad ones
persönliche,personal
figur,figure
time,time
roboter,robot
anschauen,look at
kürzlich,recently
material,material
paula,paula
käme,would come
stellst,put
bereitet,prepared
einfallen,come up
käfig,Cage
fantasie,fantasies
brach,brach
satz,sentence
kommissar,commissioner
exzellenz,excellence
schuldest,you owe
nass,nass
rächen,revenge
womöglich,possibly
begrüßen,greet
lou,lou
davis,davis
überraschen,to surprise
menschlichen,human
repariert,repaired
führung,guide
gestanden,confessed
jacob,jacob
schütze,protect
störe,disturb
nina,nina
filmen,the movie
jobs,jobs
maschinen,machinery
unterlagen,documents
palast,palace
graben,graben
kette,chain
auftauchen,turn up
interessante,Interesting
wovor,from what
springt,jumps
terroristen,terrorists
stan,stan
bekämpfen,fight
lärm,noise
flehe,flehe
aufgewachsen,grew up
arbeiter,worker
größere,larger
humor,humor
betrachten,regard
be,be
organisation,organisation
widerstand,resistance
bergen,bergen
studio,studio
hausaufgaben,homework
vögeln,fuck
bescheuert,stupid
weggehen,go away
teller,teller
original,original
revolution,revolution
hitler,hitler
mädel,girl
verbinden,connect
nathan,nathan
ermittlungen,investigations
steck,plug
wäsche,Laundry
rätsel,puzzle
besonderen,special
hunderte,hundreds
versetzt,offset
bibel,Bible
heiliger,holier
reiß,tear
kopie,copy
besitzen,own
zeitungen,newspapers
zurückgekommen,came back
süßes,sweet
barbara,barbara
ungewöhnlich,unusual
höhe,height
geschaffen,created
beschreiben,describe
ausgesucht,select
notwendig,necessary
dunklen,dark
ignorieren,to ignore
toter,Dead
deck,deck
narr,fool
scheißegal,don&apos;t give a fuck
höchstens,at most
übersehen,overlook
geirrt,mistaken
darunter,underneath
außen,Outside
einzig,only
stirbst,die
lhren,lhren
spielchen,games
girl,girl
fahrrad,bicycle
nutte,hooker
wilde,wilde
jordan,jordan
bequem,comfortable
rauch,rauch
verschiedenen,different
kamst,came
l,l
betty,betty
pool,pool
hubschrauber,helicopter
wüssten,would know
erstmal,for now
kollege,college
vernichtet,destroyed
gesichter,faces
derselbe,same
hattet,had
konto,account
freie,free
casey,casey
haken,hook
munition,munition
sünde,sin
militär,military
gefasst,caught
anzeichen,signs
geklappt,succeeded
hintergrund,background
erwähnen,mention
tipp,tipp
reißen,tear
keins,no
genial,genial
berichte,reports
kram,hug
schnapp,snap
solle,should
randy,randy
umziehen,move
zunächst,first
keinerlei,none whatsoever
typisch,typical
bietet,offers
leb,leb
technologie,technology
john-boy,john-boy
ruinieren,ruin
jünger,younger
poirot,poirot
umso,all the more
starben,died
rette,correct
triffst,meet
unhöflich,impolite
safe,safe
anzurufen,to call
universität,universität
mai,May
heben,lift
koch,koch
derselben,the same
katastrophe,catastrophe
male,male
olivia,olivia
prüfung,test
brown,brown
gesetze,laws
meeting,meeting
versicherung,insurance
getragen,carried
ehefrau,wife
mitmachen,participate
tauschen,to exchange
ergebnisse,results
boston,boston
reg,reg
einstellen,set
reagieren,react
gefehlt,missing
verwandeln,transform
gedauert,lasted
senden,from you
blair,blair
reporter,reporter
abgeben,hand over
mm,mm
parker,parker
anhören,listen
bibliothek,library
japan,japan
hinsetzen,sit down
hannah,hannah
serena,serena
motiv,reason
paige,paige
schalten,switch
derek,derek
gewöhnen,get used to
lernte,learned
vereinigten,united
gewicht,weight
zweiter,second
badezimmer,bathroom
schieben,push
dreimal,3 times
weich,soft
echtes,real
zweitens,Secondly
drachen,dragon
bahnhof,railroad station
erschöpft,exhausted
genauer,more accurate
verlange,longing
spanisch,Spanish
verrat,Treason
hexen,witches
live,live
legende,legend
taub,taub
freu,happy
konzert,concert
hopp,hope
wiederzusehen,to see again
doppelt,double
last,last
vergleich,comparison
böser,more evil
herzlich,heartfelt
monica,monica
taschen,bags
genügt,enough
besucher,visitors
spanien,Spain
großzügig,generous
teddy,teddy
hauses,house
leihen,lend
scheiden,to divorce
einstellung,attitude
köstlich,delicious
watson,watson
einheiten,units
wichtigen,important
go,go
warne,warne
russland,Russia
angeschossen,shot
sammy,sammy
pierre,pierre
sklaven,slaves
laune,mood
gesamten,entire
stille,quietly
asche,ash
geflogen,flown
spion,rearview mirror
what,what
aaron,aaron
weihnachtsmann,Santa Claus
hervorragend,terrific
can,can
verärgert,annoyed
puppe,doll
überfall,raid
unwichtig,unimportant
santa,santa
linke,linke
übung,exercise
buffy,buffy
franzosen,French people
wehgetan,hurt
schwäche,weakness
couch,couch
cousine,cousin
grant,grant
atme,breathe
irgendeinem,anyone
unterstützt,supports
oscar,oscar
ausdruck,expression
pleite,broke
beleidigt,insulted
knopf,knopf
stop,stop
schlimme,bad ones
beweist,proves
katie,katie
dramatische,dramatic
heutigen,today
leere,empty
island,island
shane,shane
daisy,daisy
trinkst,drink
heimlich,heimlich
eingehen,enter
rad,rad
greift,takes hold
mächtig,powerful
williams,williams
sinnlos,pointless
versaut,messed up
netz,network
atem,atem
anstellen,hire
milliarden,billion
flotte,beautiful
umgebung,vicinity
mitbringen,bring along
beteiligt,involved
dunkeln,darken
entwickeln,develop
schämen,be ashamed
erwachsene,adult
zack,zack
durchsuchen,search
hollywood,hollywood
rollen,roll
vergesst,forget
tricks,tricks
plätze,places
gefangene,prisoners
sünden,sins
sender,sender
verlass,leave
räumen,clear
lerne,learn
rettet,corrected
hinweise,hints
ausreden,excuses
alexander,alexander
mommy,mommy
diejenige,the one
nächte,nights
herrscht,prevails
bud,bud
jahres,year
dna,dna
romantisch,romantic
flüstert,whispers
drück,press
jeremy,jeremy
bedanken,thank you
verabredet,have an appointment
pilot,pilot
colt,colt
nigger,nigger
reizend,lovely
grade,grade
stanley,stanley
leib,leib
stecke,stuck
scheisse,Fuck
ärztin,doctor
vergewaltigt,raped
mußt,must
lieferung,delivery
botschafter,ambassador
studieren,study
köpfe,heads
duschen,have a shower
kopfschmerzen,headache
öl,oil
knarre,creak
sekretärin,secretary
phase,phase
handschellen,handcuffs
lewis,lewis
versehen,Mistake
bande,band
treu,faithful
positiv,positive
meiste,most
museum,museum
albtraum,nightmare
margaret,margaret
verlobt,engaged
besiegt,defeated
existieren,exist
könne,could
proben,rehearse
beschissen,crappy
gewinne,win
personal,personal
christian,christian
bewaffnet,armed
fällen,fall
wecken,wake up
wirkung,effect
kurt,kurt
connor,connor
rebecca,rebecca
therapie,therapy
travis,travis
amüsieren,amuse
ordentlich,orderly
weglaufen,run away
aufgewacht,woke up
nähern,approach
decken,cover
sinne,there
leutnant,lieutenant
zauberer,wizard
hogan,hogan
bittet,asks
ankunft,arrival
klopft,knocks
abstand,distance
bewusstsein,consciousness
nation,nation
kontrolliert,controlled
treffer,meeting
abnehmen,lose weight
ratten,the steering wheel
anwälte,lawyers
tempel,temple
vergiftet,poisoned
kunde,could
august,august
wunden,wounds
unangenehm,unpleasant
ausrüstung,equipment
segen,blessing
präsentiert,presents
schließ,close
kehle,throat
krone,krone
garantiert,guaranteed
durchsucht,searched
president,president
tracy,tracy
verfluchte,cursed
bestimmten,certain
clay,clay
ladies,ladies
b.,b.
ladung,charge
beinen,legs
hell,hell
kent,kent
kapitel,chapter
chase,chase
benutze,use
alibi,alibi
ziele,goals
bestie,bestie
gus,gus
nirgends,nowhere
wohnzimmer,living room
beute,prey
bau,bau
brennen,burn
lex,lex
durst,durst
logan,logan
schwarzer,black
schmutzig,dirty
liebhaber,Lover
ersetzen,substitute
juli,July
verfahren,procedure
kirk,kirk
stiefel,stiefel
inspector,inspector
allzu,too
camp,camp
dürft,may
orten,places
hitze,heat
spielzeug,toy
tv,tv
gloria,gloria
wolle,to want
knurrt,growls
meldet,reports
rita,rita
zone,zone
trocken,dry
lincoln,lincoln
schreibst,write
audrey,audrey
quinn,quinn
probier,try
le,the
kids,kids
unterschrieben,signed
do,do
heulen,cry
entschlossen,determined
paket,package
gefiel,liked
bekamen,got
netten,nice
geheime,secrets
jennifer,jennifer
aktiviert,activated
ausweg,way out
hinweg,away
schmuck,schmuck
ausgang,exit
wunderschöne,beautiful
zurückkommt,returns
ann,ann
illegal,illegal
ferien,the holiday
persönlichen,personal
geiseln,hostages
segne,signs
normaler,more normal
steuer,tax
aufgepasst,watch out
murphy,murphy
raumschiff,spaceship
dummen,stupid
weißer,whiter
ausbildung,education
klavier,piano
hauptsache,main thing
admiral,admiral
entgegen,in contrast to
fasse,do
strecke,route
julian,julian
version,version
hilfreich,helpful
schweren,heavy
h,h
jahrelang,for years
leeren,to empty
küste,coast
baron,baron
behörden,authorities
grüße,greetings
geklärt,clarified
bruders,brother
kaufte,bought
stone,stone
puls,puls
blue,blue
flur,corridor
denselben,the same
rettung,rescue
widerlich,disgusting
parkplatz,parking spot
katzen,cats
laster,soon
sozusagen,so to speak
mittwoch,Wednesday
unschuldige,innocent ones
abwarten,wait
grandma,grandma
florida,Florida
re,re
grünen,greens
könntet,could
aufnahmen,Recordings
vision,vision
schauspielerin,actress
passe,passe
sing,sing
glückliche,happy ones
highschool,highschool
friedhof,friedhof
irrtum,mistake
klienten,clients
nervt,annoying
leidet,suffers
reverend,reverend
trainieren,train
gegenwart,present
zurückbringen,return
herman,herman
protokoll,protocol
studenten,students
durchaus,absolutely
grausam,awful
höchste,highest
verwickelt,involved
schmecken,taste good
klappen,clap
apropos,apropos
liz,liz
alfred,alfred
ansonsten,otherwise
wade,wade
missverständnis,misunderstanding
mitglieder,members
motorrad,motorrad
mickey,mickey
blicken,look
glücklicher,happier
hübschen,pretty
dicke,thickness
gewünscht,desired
gejagt,hunted
diejenigen,those
diskutieren,discuss
pinkeln,to pee
huhn,chicken
erheben,raise
paradies,paradise
tagebuch,diary
möglichen,possible
jenseits,beyond
arschlöcher,assholes
apartment,apartment
mason,mason
pfeift,whistles
dieselben,the same
wilden,wild ones
vergaß,forgot
enttäuschen,disappoint
greg,greg
konsequenzen,consequences
fleck,fleck
macgyver,macgyver
führerschein,driver&apos;s license
online,online
bete,fill up
verdächtige,suspects
enkel,single
normalen,normal
stift,rigid
interview,interview
süßen,sweeten
riesige,huge
aussicht,outlook
ned,ned
wiederkommen,come back
werbung,advertising
warf,threw
telefoniert,telephoned
anblick,sight
einzelnen,individual
teppich,carpet
hielten,held
handel,handel
gekannt,known
getrieben,driven
trainer,trainer
scully,scully
schuh,schuh
bomben,bombs
kämpfer,fighter
victoria,victoria
bedenken,think up
sitzung,meeting
ken,ken
sicheren,safe
verkaufe,sell
ron,ron
tapfer,brave
experiment,experiment
besorge,get
tiefe,depth
narren,fool
abgeholt,picked up
abhalten,hold off
bestimmte,particular
laufenden,ongoing
auftaucht,shows up
school,school
löschen,delete
tara,tara
sebastian,sebastian
mies,mies
sarg,yellow
r,r
vertragen,tolerated
gebissen,bitten
geheimen,secret
drinks,drinks
schlief,slept
tradition,tradition
soeben,just
komische,funny ones
schultz,schultz
aufgehalten,stopped
fähigkeit,capability
attraktiv,attractive
begriff,expression
versichere,insure
schilde,shields
legte,laid
mitteilen,communicate
sdh,sdh
gemütlich,cozy
muster,muster
versprach,promised
überwachen,monitor
eingeschlafen,fell asleep
schlimmsten,worst
verlierst,lose
einzelne,separate
vergib,forgive
vorbeikommen,come round
aua,do not
brüste,breasts
sandwich,sandwich
gewinner,winner
verständnis,understanding
g,g
raymond,raymond
papst,pope
toast,toast
matthew,matthew
einsteigen,get in
löwen,lions
einsetzen,insert
gewinn,profit
schüchtern,shy
scheinst,seem
pflanzen,plant
green,green
sheldon,sheldon
christopher,christopher
hätt,would have
coach,coach
werte,values
modell,model
übernimmt,takes over
walton,walton
heftig,violent
vorfall,incident
motel,motel
teams,teams
irgendeinen,anyone
müsstest,would have to
freier,freer
zirkus,circus
ruhm,Fame
zurzeit,currently
ausmachen,turn off
rezept,recipe
töchter,daughters
laute,Lute
akzeptiert,accepted
geschwindigkeit,speed
beliebt,popular
verpflichtet,obligated
betrüger,cheater
lohnt,worth it
märchen,fairy tale
blöder,bleeding
becky,becky
wille,wille
hügel,hill
königreich,kingdom
dennis,dennis
kehren,sweep
baut,builds
chinesen,Chinese
gesichert,secured
michel,michel
ruth,ruth
block,block
belogen,lied to
malen,grind
kofferraum,trunk
road,road
bursche,fellow
erin,erin
geständnis,confession
ausgegangen,went out
begreifen,understand
dana,dana
blitz,blitz
löst,solves
furcht,fear
jersey,jersey
ernstes,serious
verteilt,distributed
bezüglich,with reference to
faszinierend,fascinating
aufmerksam,attentive
aufregung,excitement
wendy,wendy
ethan,ethan
orte,places
entführung,kidnapping
keucht,gasps
erhielt,received
treue,loyalty
felsen,rock
malcolm,malcolm
kurzen,short
zorn,zorn
taucht,dives
bestimmen,determine
ausgesetzt,exposed
zurückgeben,hand back
verkehr,traffic
bewiesen,proven
generation,generation
liebste,favorite
ausrichten,align
ausnahme,exception
ebene,level
herrlich,splendid
stürzen,fall
herausforderung,challenge
gefälligst,if you please
farben,colors
geliebten,loved ones
ankommen,arrive
tempo,tempo
unterbrechen,interrupt
kindes,child
babe,babe
erden,earth
schrecklichen,terrible
falsches,wrong
täuschen,To deceive
tal,of
irgendwer,anyone
deins,flinch
witwe,widow
sichern,to back up
gerede,in need
betrug,fraud
trauer,grief
anwesenheit,presence
bilden,the image
gewachsen,grown
ausflug,side trip
jill,jill
verlaufen,get lost
rand,rand
kenny,kenny
rechnen,calculate
aufzug,elevator
befragen,consult
wegnehmen,take away
abschied,farewell
benötigen,need
pst,pst
amt,amt
reiche,rich
otto,otto
beginn,start
daumen,thumb
bestrafen,punish
clarence,clarence
weine,cry
fremder,stranger
sachte,gently
identifiziert,identified
gestehen,confess
mac,mac
owen,owen
morris,morris
riesig,gigantic
entscheide,decide
koma,come
prinzen,princes
bewusstlos,unconscious
county,county
marke,marke
harter,harter
hill,hill
höflich,polite
jude,jude
setzte,sat
besorg,concerned
absichtlich,intentionally
vermasselt,massages
verschlossen,locked
sowie,as well as 
gesang,life
gedreht,turned
ford,ford
religion,religion
ey,ey
unterschrift,signature
rosen,rosen
persönliches,personal
queen,queen
fortschritte,progress
eingang,entrance
zugehört,listened
biete,offer
clara,clara
vorhaben,plan
kultur,culture
patientin,patient
stephen,stephen
explodiert,explodes
nichte,niece
verzichten,waive
steven,steven
harris,harris
existenz,existence
drehbuch,script
football,football
anzusehen,to watch
ohnmächtig,unconscious
zaun,fence
anthony,anthony
geladen,loaded
guckt,looks
privat,private
peg,peg
brauchten,needed
liam,liam
heb,heb
virginia,virginia
wächter,Guardian
eimer,bucket
blasen,blow
rakete,rocket
salz,salt
unfair,unfair
verzeiht,forgive
esel,donkey
krankenschwester,nurse
symbol,symbol
entscheidet,decides
fahrzeug,vehicle
unterwäsche,underwear
betrachtet,considered
bauern,farmers
engländer,English people
wartete,was waiting
schaust,look
genossen,enjoyed
tropfen,drops
probiert,tried
spock,spock
café,café
verhungern,to starve
versuchten,tried
mütter,mothers
september,september
aktion,action
bestanden,files
haaren,hair
louise,louise
schluchzt,sobs
übertrieben,exaggerated
heilmittel,remedies
apparat,device
vorm,form
friedlich,peaceful
richtiges,correct
zuschauer,viewers
teenager,teenager
geliefert,delivered
may,may
gestritten,argued
maus,maus
lediglich,only 
charakter,character
riley,riley
krass,cool
weiterer,further
group,group
ricky,ricky
diana,diana
geräusche,Sounds
lichter,lighter
starken,strengthen
dexter,dexter
staffel,squadron
flaschen,bottles
putzen,cleaning
einbruch,Burglary
geheilt,healed
beißen,bite
nicole,nicole
stammen,come
wände,walls
befürchte,fear
kostüm,costume
warren,warren
grüßen,to greet
versagen,fail
übernommen,accepted
hoffte,hoped
verschieben,move
verspätung,lateness
whiskey,whiskey
mars,mars
media,media
entdecken,discover
traue,trust
thron,throne
riesigen,huge
zelt,tent
akzent,accent
truppe,troops
übertragen,transmitted
kompliment,compliment
flammen,Flames
erkennst,recognize
erschrecken,scare
gemälde,painting
ari,ari
walt,walt
chip,chip
mannschaft,team
cindy,cindy
loyalität,loyalty
benjamin,benjamin
dankeschön,Thank you very much
vertreten,represent
verhandlung,negotiation
lernst,learn
brüllt,roars
füllen,to fill
letztendlich,at long last
krise,crisis
verlierer,loser
spencer,spencer
with,with
kekse,cookies
ausschalten,turn off
penis,penis
profi,profi
whisky,whisky
erledige,do
gelächter,laughter
fängst,catch
erklär,explain
einspruch,objection
angeln,fishing
rausgehen,go out
monk,monk
kaution,deposit
eures,yours
gesessen,sat
verrate,betray
kehrt,returns
boy,boy
summe,total
lade,let
billig,cheap
curtis,curtis
bernard,bernard
juni,June
gerissen,cracked
festgenommen,arrested
ralph,ralph
befohlen,ordered
überlege,think
koordinaten,coordinates
flog,flog
herzinfarkt,Heart attack
hinlegen,lie down
nahrung,food
liege,liege
geflohen,fled
knall,bang
nebenbei,alongside
mylord,mylord
nachbar,neighbor
küss,kiss
lhrem,lhrem
geleistet,accomplished
nutzt,uses
fröhliche,happy
nebel,fog
front,front
veränderung,change
affe,ape
kontaktieren,to contact
brand,brand
fuhren,lead
zwischenzeit,in the meantime
eingesetzt,used
anton,anton
philip,philip
megan,megan
schlimmeres,worse
rennt,runs
anlegen,invest
nachzudenken,to think about
schwör,swear
übliche,usual
kreatur,creature
verderben,spoil
medizinische,medical
besetzt,occupied
zugriff,access
kanal,channel
blutdruck,blood pressure
grüne,green
ausgeben,spend
papi,papi
clown,clown
lhrer,lhrer
sonny,sonny
schwören,swear
hühnchen,chicken
arten,species
aufgebaut,built up
sydney,sydney
betrügen,deceive
steele,steele
trank,drank
glatt,smooth
trainiert,trained
indien,if
autor,author
geweint,cried
blume,blume
verletzungen,injuries
special,special
zwillinge,Twins
mia,mia
reißt,tears
zeigst,show
stirb,die
justin,justin
diane,diane
gefickt,fucked
schlägst,beats
moskau,Moscow
erwartest,expect
gestoßen,bumped
durchgehen,go through
praxis,praxis
gründlich,thorough
benny,benny
eingeschlossen,locked in
tragödie,tragedy
vollständig,complete
psychiater,psychiatrist
rasse,breeds
lance,lance
vertraust,trusted
kummer,sorrow
eigener,own
christine,christine
partei,Political party
zentrum,center
testament,testament
entfernung,distance
private,private
welten,worlds
verlegen,embarrassed
heroin,heroin
erfuhr,learned
gelände,terrain
kutsche,coach
dummer,dumber
homer,homer
stabil,stable
ausgeschlossen,excluded
out,out
draus,out
aufgehoben,lifted
single,single
regisseur,Director
vielmals,many times
dylan,dylan
bestand,duration
k,k
erbe,herbs
weggelaufen,Run away
jim-bob,jim-bob
noah,noah
leichte,light
zuständig,responsible
losgehen,go off
long,long
hustet,coughs
brutal,brutal
besprochen,discussed
halbes,half
bargeld,Cash
peggy,peggy
action,action
zusammenarbeiten,work together
beunruhigt,worried
achte,buy
innere,inner
kanone,cannon
eklig,disgusting
x,x
armes,armes
avenue,avenue
öffentlich,public
nützt,useful
marine,marine
brillant,bright
köder,bait
gespräche,conversations
nähert,approaches
vorgehen,proceed
kleinigkeit,small thing
kissen,pillow
manny,manny
geisel,geisel
gerecht,just
trost,trost
gehasst,hated
a.,a.
gesorgt,taken care of
archer,archer
spinner,spinner
vergebung,forgiveness
vieh,cattle
schnelle,fast
normales,normal
gefesselt,tied up
lautes,loud
kalte,damage
leitet,directs
angehen,approach
ekelhaft,disgusting
salat,salat
schicht,layer
intelligent,intelligent
meg,meg
verhältnis,relationship
socken,parish
brieftasche,wallet
holly,holly
packt,packs
eventuell,possibly
nirgendwohin,nowhere
methode,method
gelangen,reach
gespannt,tense
vernunft,reason
zurückgehen,go back
regnet,the rain
drama,drama
entspannt,relaxed
wörter,words
klingeln,ring
ruhige,quiet
sprung,sprung
anständig,respectable
gangster,gangster
harten,hard
aufzeichnungen,records
ofen,oven
cowboy,cowboy
endgültig,finally
aufgaben,tasks
ruh,ruh
deutsch,deutsch
neil,neil
wodka,vodka
know,know
air,air
respektieren,respect
riskant,risky
lohn,lohn
zuviel,too much
zustimmen,agree
schnaps,liquor
troy,troy
stufe,level
erleichtert,relieved
scheune,barn
vanessa,vanessa
klink,klink
spaziergang,stroll
katherine,katherine
zettel,note
kotzen,puke
blödmann,dumbass
hurra,hurray
lana,lana
symptome,symptoms
vorfahren,ancestors
nutzlos,useless
shaw,shaw
telefonnummer,phone number
nochmals,again
grey,grey
medien,media
faul,lazy
dient,serves
russell,russell
ereignisse,events
aussuchen,choose
verprügelt,beaten up
zweites,second
sherlock,sherlock
fabelhaft,fabulous
klinge,blade
leistung,perfomance
beileid,sympathy
castle,castle
durchführen,carry out
mitchell,mitchell
eröffnen,open
unschuld,innocence
seist,you say
stoßen,bump
palmer,palmer
like,like
genügend,enough
sofa,sofa
gestatten,allow
gekocht,purchased
biest,beast
lydia,lydia
bräuchte,would need
ausgelöst,triggered
väter,fathers
verarscht,fooled
butter,butter
nachbarschaft,neighborhood
villa,villa
data,data
goldene,golden ones
schließe,close
saft,saft
begehen,commit
hauptquartier,headquarters
geschworen,sworn
abgenommen,removed
werkstatt,workshop
überreden,convince
nannten,called
gemüse,vegetables
schläger,bat
frisst,eats
bewundere,admire
geschieden,occur
assistentin,assistant
wettbewerb,competition
lebten,lived
sieger,winner
verfassung,constitution
küsst,kisses
fußball,football
geschnitten,cut
master,master
quietschen,squeak
füttern,feed
gürtel,belt
unschuldigen,innocent
menschlich,human
eigenartig,peculiar
oje,juice
hanna,hanna
kabel,cable
duke,duke
franz,franz
zahn,zahn
landet,the country
kisten,boxes
liegst,lie
mona,mona
krankenstation,hospital ward
leine,rope
beschreibung,description
ausmacht,makes up
beschädigt,damaged
grundstück,property
steckte,stuck
bahn,bahn
turm,tower
mine,mine
sauerstoff,oxygen
nö,so-called
angesichts,given
ll,ll
versager,failure
deinetwegen,because of you
vic,vic
angeklagt,accused
aufhört,stops
baden,baden
knacken,crack
verbindungen,links
panzer,panzer
marcel,marcel
bach,bach
leiser,quieter
stimmengewirr,babble of voices
zerstörung,destruction
stirn,forehead
finn,finn
sanft,soft
kloster,monastery
charmant,charming
aufbauen,build up
thanksgiving,thanksgiving
anlass,occasion
zähle,count
verlieben,fall in love
atmosphäre,the atmosphere
ronnie,ronnie
samantha,samantha
leber,leber
jener,that one
begegnen,encounter
dämlich,stupid
krawatte,necktie
juan,juan
tarnung,camouflage
kanada,you have
alpha,alpha
baker,baker
tabletten,tablets
faust,faust
auftreten,appear
monroe,monroe
blatt,blatt
gelöscht,deleted
dschungel,jungle
alison,alison
niedlich,cute
c.,c.
klage,complain
wolltet,wanted
jonas,jonas
akt,akt
schießerei,shoot-out
anwältin,lawyer
überleg,consider
frisur,hairstyle
spruch,saying
jene,those
moral,moral
angelegenheiten,Affairs
dokumente,documents
fröhlich,cheerful
spezies,species
oktober,October
schachtel,box
opfers,victim
noten,nuts
ellie,ellie
irgendwohin,somewhere
nora,nora
brunnen,spring
toby,toby
sandy,sandy
lampe,lampe
craig,craig
jagt,hunt
eigentum,property
diebstahl,theft
spenden,donate
betrieb,operation
gemeinsame,common
absurd,absurd
gegensatz,contrast
frühling,spring
dünn,thin
ausland,abroad
schultern,Shoulders
entwicklung,development
vergehen,pass away
ahnen,guess
verbessern,improve
herzog,herzog
diskussion,discussion
gehalt,salary
lemon,lemon
freak,freak
glocke,Bell jar
